month,day,year,stddev1q,edx1q,stddev2q,edx2q,stddev3q,edx3q,stddev4q,edx4q,stddev5q,edx5q
1,3,1994,0.51752896,0.54676096,0.73668314,0.79825623,0.98637577,1.0545301,1.1148136,1.2294999,0.99966879,1.2293595
1,4,1994,0.52275014,0.55206773,0.71950954,0.77582461,0.96494921,1.0272141,1.1022663,1.2175029,1.00048,1.2272038
1,5,1994,0.51309639,0.54212518,0.71602652,0.77230183,0.98122148,1.0491933,1.0925891,1.2062987,1.0002926,1.2113948
1,6,1994,0.50793094,0.53637912,0.67717139,0.73181959,0.94564402,1.0086463,1.0454143,1.1503895,0.9953664,1.1690255
1,7,1994,0.46948435,0.48544488,0.61781235,0.66149857,0.87945652,0.93551626,0.98354464,1.083972,0.95785006,1.1228539
1,10,1994,0.43240475,0.45038525,0.61665027,0.6588256,0.86202395,0.9172915,0.9760784,1.0773766,0.96028601,1.1261035
1,11,1994,0.43240475,0.45038525,0.61665027,0.6588256,0.86169974,0.91693471,0.95978483,1.0614378,0.95102745,1.1095119
1,12,1994,0.39353557,0.40907859,0.60756082,0.65050916,0.84324615,0.89595207,0.95576338,1.0539623,0.92936025,1.0947603
1,13,1994,0.41922622,0.43675729,0.6142574,0.6540597,0.86225756,0.92402995,0.96123514,1.0575598,0.95897823,1.1230478
1,14,1994,0.41419405,0.43706852,0.61328181,0.65343902,0.87401207,0.93666801,0.97952758,1.0795787,0.97347834,1.1400585
1,17,1994,0.41419405,0.43706852,0.60919175,0.64929604,0.87605482,0.93737011,0.98437098,1.0842274,0.97230406,1.139575
1,18,1994,0.39976346,0.41569047,0.60255438,0.6436695,0.85643748,0.91815511,0.97626395,1.0787102,0.95657823,1.1167792
1,19,1994,0.38887353,0.40433555,0.58981593,0.6304199,0.83293009,0.8937644,0.9562827,1.0540289,0.94183325,1.0981283
1,20,1994,0.39353557,0.40907859,0.56385463,0.60156352,0.78918658,0.84600571,0.91892488,1.0062933,0.92708997,1.081993
1,21,1994,0.39353557,0.40907859,0.5671341,0.60679522,0.78457047,0.84158264,0.91412768,1.0015865,0.90890924,1.0551794
1,24,1994,0.38743639,0.40289427,0.57025981,0.60822409,0.77899062,0.83711307,0.90075446,0.98692017,0.90341737,1.0462219
1,25,1994,0.39329818,0.40907859,0.55993601,0.59785781,0.77816646,0.8350598,0.90965254,0.99104669,0.91147414,1.0530517
1,26,1994,0.39329818,0.40907859,0.55993601,0.59785781,0.79394069,0.84792227,0.9075348,0.98552823,0.91147414,1.0530517
1,27,1994,0.3938365,0.40960599,0.5759029,0.61388341,0.79961704,0.85231244,0.89894325,0.97439938,0.90004458,1.0408989
1,28,1994,0.39392692,0.4093984,0.56837482,0.607619,0.78752556,0.83927231,0.8865812,0.96602629,0.89577137,1.0404005
1,31,1994,0.39960408,0.41558942,0.55993601,0.59785781,0.78418457,0.83756027,0.87744882,0.95593493,0.90322455,1.0482208
2,1,1994,0.4188525,0.43710022,0.57393507,0.6117115,0.81250479,0.87139107,0.89919721,0.98159094,0.91634556,1.0573934
2,2,1994,0.44467628,0.46558575,0.59366171,0.63214482,0.82100162,0.88215313,0.91779192,0.99985858,0.92886724,1.0776774
2,3,1994,0.45190857,0.47559858,0.61295935,0.66161467,0.84986324,0.91207667,0.94734079,1.0346233,0.99508583,1.1268038
2,4,1994,0.43626732,0.46426353,0.62131882,0.67327137,0.87266053,0.93349238,0.9820621,1.0716019,1.0077791,1.1667696
2,7,1994,0.43346666,0.45443353,0.61563694,0.66514305,0.86402342,0.92473334,0.98034348,1.0718211,1.006881,1.1651463
2,8,1994,0.4217741,0.44230167,0.60086361,0.65279324,0.82100297,0.87525725,0.95327378,1.0458065,0.99163652,1.1334389
2,9,1994,0.42346771,0.44401562,0.58059393,0.62760172,0.81283928,0.86688918,0.93254097,1.0175772,0.98128198,1.1197547
2,10,1994,0.41264308,0.43139145,0.57799501,0.62498935,0.81361173,0.86892115,0.92470613,1.0075386,0.97634453,1.1134002
2,11,1994,0.38765186,0.40538872,0.56557098,0.60992739,0.79101797,0.84411854,0.92025066,1.0064118,0.96070775,1.0896735
2,14,1994,0.38765186,0.40538872,0.56110735,0.60546352,0.78407275,0.84089878,0.90632112,0.99050871,0.96070775,1.0896735
2,15,1994,0.36779672,0.38490024,0.55212449,0.59643538,0.76700409,0.82048041,0.89452393,0.979743,0.94932451,1.0775359
2,16,1994,0.38114904,0.39871135,0.56589705,0.60992739,0.75945311,0.81763666,0.87634331,0.95607573,0.97805674,1.0877843
2,17,1994,0.38520984,0.40311224,0.56127714,0.60827693,0.76798565,0.82615172,0.90353623,0.98849923,0.98252296,1.0897491
2,18,1994,0.40848669,0.42806684,0.57305379,0.61992537,0.78439477,0.84339473,0.94429025,1.0330807,0.98280228,1.0957737
2,22,1994,0.40848669,0.42806684,0.57305379,0.61992537,0.78283868,0.841825,0.93991204,1.0317646,0.98618481,1.0994138
2,23,1994,0.42306216,0.44377538,0.57596258,0.61868678,0.797558,0.85254581,0.95267682,1.0524943,1.0131989,1.1398906
2,24,1994,0.4535365,0.47616361,0.61461343,0.66123265,0.82640354,0.88514646,0.96999768,1.0714614,1.0229793,1.1559041
2,25,1994,0.44237466,0.46466035,0.61674565,0.66338482,0.82640354,0.88514646,0.95591017,1.0526026,1.0107626,1.1482331
2,28,1994,0.43878808,0.46082741,0.60584828,0.6521064,0.8174589,0.87567245,0.93891358,1.0372557,1.0107098,1.145878
3,1,1994,0.47232212,0.49814117,0.65421906,0.70887028,0.8488328,0.91025635,0.97249969,1.0771765,1.0025306,1.1480218
3,2,1994,0.47232212,0.49814117,0.65622922,0.70887028,0.90183947,0.96476962,1.0026024,1.1108392,1.0197663,1.1751631
3,3,1994,0.46352963,0.48911031,0.66908724,0.72791515,0.89730874,0.95826146,1.011876,1.121829,1.025168,1.1834687
3,4,1994,0.47509458,0.50133987,0.71962271,0.77710436,0.94297844,1.0109473,1.0462334,1.1632531,1.0303482,1.2070189
3,7,1994,0.47325823,0.49934931,0.71641815,0.77546086,0.94080782,1.0086037,1.0561938,1.1637109,1.0357046,1.2111801
3,8,1994,0.47569603,0.50199214,0.73645021,0.79596309,0.95668571,1.0273599,1.0615256,1.1719381,1.029339,1.2122501
3,9,1994,0.47763159,0.502672,0.76850347,0.82718124,0.97593252,1.0483607,1.0928011,1.2096041,1.0667854,1.259945
3,10,1994,0.48281844,0.50826807,0.80853385,0.86862999,1.0270549,1.1068671,1.1274177,1.2547747,1.0997852,1.3117395
3,11,1994,0.45496255,0.4790294,0.74744394,0.80378543,0.99227606,1.0680759,1.122272,1.246064,1.0892334,1.2951165
3,14,1994,0.45705726,0.47952962,0.7566837,0.8134171,0.99652872,1.0731326,1.1220182,1.243937,1.0950196,1.3096154
3,15,1994,0.4330384,0.45431896,0.74073745,0.79629808,0.98300548,1.0600084,1.0990209,1.2188053,1.202447,1.3864155
3,16,1994,0.41516609,0.43555922,0.6951054,0.74649126,0.93395708,1.0052329,1.0561389,1.1654957,1.1753392,1.3546271
3,17,1994,0.42302844,0.44377847,0.68653381,0.73816319,0.91545456,0.98625254,1.0405577,1.1519364,1.1679685,1.3485347
3,18,1994,0.43086888,0.45089715,0.72667296,0.78020113,0.94527809,1.0196069,1.0559999,1.1722444,1.164061,1.3535994
3,21,1994,0.42432999,0.44406829,0.71479548,0.76828651,0.94361012,1.0176443,1.0728081,1.1951091,1.1547587,1.3406304
3,22,1994,0.35867446,0.37498681,0.67066307,0.71873486,0.89578891,0.96317479,1.029099,1.1326314,1.1289764,1.2870429
3,23,1994,0.36151767,0.37538464,0.64771773,0.69516122,0.89594045,0.96333787,1.0241443,1.1276232,1.1291457,1.2874801
3,24,1994,0.36062274,0.37705535,0.66513642,0.71334559,0.93159839,1.0025834,1.0617112,1.1783291,1.1550343,1.3464671
3,25,1994,0.36062274,0.37705535,0.66343884,0.70957536,0.91953831,0.99000067,1.0431368,1.1584574,1.1448524,1.3353746
3,28,1994,0.35362178,0.36971399,0.65737175,0.70335497,0.91370201,0.99134991,1.04631,1.1597185,1.1393719,1.3397213
3,29,1994,0.34008357,0.35573715,0.65711509,0.70134991,0.93629639,1.0220854,1.0570317,1.1846286,1.1455243,1.3472353
3,30,1994,0.34008357,0.35573715,0.66526427,0.70984722,0.95098164,1.0316168,1.0668318,1.1926176,1.1433485,1.3524271
3,31,1994,0.36981768,0.38518223,0.66900591,0.71380093,0.95667469,1.0374739,1.0751105,1.202095,1.1447282,1.3563765
4,1,1994,0.73008002,0.77812724,1.0251494,1.1239121,1.1011696,1.266475,1.1036336,1.346521,1.2268194,1.5485971
4,4,1994,0.76234069,0.81940836,1.0694706,1.1771592,1.1765878,1.3631058,1.3624964,1.6207903,1.6279195,1.9317015
4,5,1994,0.72133577,0.77778203,1.0377922,1.1331567,1.2106199,1.3584629,1.3694537,1.6174099,1.6390689,1.9170945
4,6,1994,0.7476897,0.80531118,1.049099,1.1481114,1.2254192,1.3733116,1.3706451,1.6026418,1.6277651,1.897207
4,7,1994,0.72606073,0.77661512,1.0315005,1.125942,1.2020898,1.3417741,1.3363534,1.5539759,1.5857293,1.8420069
4,8,1994,0.74389135,0.79519847,1.0613715,1.1651911,1.2226681,1.3689298,1.3451933,1.5793899,1.604685,1.8413554
4,11,1994,0.73537458,0.78631503,1.0544909,1.1609065,1.2173143,1.3652212,1.3345322,1.5709234,1.632792,1.8260188
4,12,1994,0.71612802,0.76635333,1.0404887,1.142343,1.1899181,1.3300935,1.3194511,1.4994211,1.6133363,1.7923029
4,13,1994,0.73765738,0.79082996,1.0403135,1.1415384,1.2093766,1.35447,1.3370798,1.5234675,1.6323813,1.8140513
4,14,1994,0.74119812,0.79253591,1.0478383,1.1483036,1.2064947,1.3577707,1.3447279,1.5340642,1.6365973,1.823541
4,15,1994,0.74119812,0.79253591,1.0389282,1.1409272,1.1981219,1.3515047,1.3447279,1.5340642,1.6373633,1.8245444
4,18,1994,0.78799584,0.84878603,1.0716606,1.1848441,1.2053612,1.370993,1.3224619,1.5368002,1.6775978,1.8817851
4,19,1994,0.78031918,0.84099828,1.0813877,1.1855288,1.2066023,1.3773036,1.3103391,1.5360723,1.6774495,1.8826405
4,20,1994,0.75093137,0.81050219,1.0427407,1.1420076,1.1750279,1.3341986,1.2901788,1.4956448,1.6488329,1.8438881
4,21,1994,0.69913352,0.75125873,1.0077415,1.1015936,1.1549846,1.2979338,1.2853665,1.4597322,1.5999756,1.7852521
4,22,1994,0.69856022,0.75527093,1.0014362,1.0950744,1.1505248,1.2928582,1.2871324,1.4743178,1.5946306,1.7783225
4,25,1994,0.68409644,0.74049386,0.98880813,1.0815617,1.1498384,1.2884439,1.2834657,1.4680745,1.5949445,1.7791231
4,26,1994,0.68409644,0.74049386,0.98724391,1.0799993,1.1596275,1.2983345,1.2803261,1.4671235,1.598707,1.7842434
4,28,1994,0.68434775,0.74109317,1.0160107,1.1114636,1.2036149,1.3614356,1.3193313,1.5469172,1.6854158,1.8811431
4,29,1994,0.74378044,0.80677247,1.0588161,1.1587575,1.2360251,1.4082124,1.3330384,1.5577669,1.7100316,1.9266697
5,2,1994,0.73375191,0.79299515,1.0447458,1.1442614,1.2147108,1.3919328,1.334098,1.5607719,1.6937258,1.9071437
5,3,1994,0.73118807,0.78835642,1.044667,1.1499284,1.2052545,1.3806077,1.3324745,1.5607287,1.7031617,1.9189314
5,4,1994,0.71960638,0.776371,1.0432277,1.1491408,1.2279789,1.3858123,1.3197258,1.5447726,1.6940103,1.9039993
5,5,1994,0.70530111,0.76178987,1.0220633,1.1223833,1.2207249,1.3725928,1.3259807,1.5477158,1.6810764,1.8880194
5,6,1994,0.71339371,0.77064922,1.03634,1.1552901,1.2235836,1.4042041,1.2791077,1.5307756,1.6981634,1.9317579
5,9,1994,0.76744907,0.82885241,1.092399,1.21638,1.3060374,1.4919235,1.4334825,1.7051266,1.7224046,1.9851846
5,10,1994,0.77060321,0.8343353,1.0928818,1.2111836,1.313403,1.4875746,1.4509542,1.700631,1.7394993,1.9828549
5,11,1994,0.81125466,0.8785718,1.1250446,1.2554174,1.3200004,1.5074,1.4641586,1.7104174,1.7461141,2.0030956
5,12,1994,0.78767267,0.85284061,1.0864173,1.2036293,1.2976,1.4795911,1.4290169,1.6512411,1.7129936,1.9534281
5,13,1994,0.77222328,0.83085265,1.0559274,1.1693058,1.2697555,1.4427924,1.4020453,1.6104817,1.6761855,1.8937216
5,16,1994,0.76415056,0.82273212,1.0462596,1.1571515,1.2695507,1.434267,1.4065374,1.6042531,1.6695358,1.8798086
5,17,1994,0.70483655,0.76275315,0.97584956,1.0781979,1.2129042,1.3599552,1.3441344,1.5211561,1.6160813,1.8161745
5,18,1994,0.6831414,0.74008935,0.96230353,1.061411,1.1980011,1.3422568,1.3615027,1.5336603,1.6161168,1.8152343
5,19,1994,0.68969302,0.74266161,0.96862545,1.0705679,1.1768267,1.3034793,1.3698134,1.5445246,1.625543,1.8163542
5,20,1994,0.7123356,0.76590428,1.0219763,1.1290957,1.2555437,1.402838,1.4070879,1.5937648,1.6608237,1.8687894
5,23,1994,0.74735368,0.80354589,1.0713438,1.1853285,1.2827203,1.4363695,1.4502146,1.6492669,1.6990597,1.9226508
5,24,1994,0.7389008,0.79627526,1.0926032,1.2068303,1.3007441,1.4559823,1.444109,1.6397787,1.7020716,1.9281185
5,25,1994,0.71405702,0.77033643,1.0755032,1.188388,1.3045824,1.4598126,1.4442577,1.641579,1.6989175,1.9266268
5,26,1994,0.70576517,0.76171867,1.0440024,1.1521257,1.260845,1.4124916,1.4180111,1.6154588,1.6693191,1.884149
5,27,1994,0.69315417,0.74883728,1.0325553,1.1385013,1.2605052,1.4107972,1.4166856,1.6123268,1.6798992,1.8961692
5,31,1994,0.69626032,0.75241425,1.0372095,1.1496707,1.2470034,1.398295,1.4125532,1.6121804,1.676211,1.8906125
6,1,1994,0.67902403,0.73444709,1.0103186,1.1166297,1.2312011,1.3790784,1.389814,1.5817548,1.6483197,1.8565483
6,2,1994,0.6335129,0.68477029,0.96237822,1.0591944,1.1903087,1.331448,1.3596417,1.5363179,1.6125709,1.8119951
6,3,1994,0.5786781,0.61942378,0.89761863,0.99049884,1.1387799,1.2706918,1.2974671,1.4605964,1.5580389,1.7391254
