Date,MP1,MP2,ED1,ED2,ED3,ED4,ONRUN3M,ONRUN6M,ONRUN2,ONRUN5,ONRUN10,ONRUN30,SP500,EURO,YEN,Unscheduled
2/8/1990,-0.014,-0.02,0.01,0.02,0.01,0.01,.,.,.,.,.,.,-0.16664,-1.07591,-0.04812,0
3/28/1990,0,-0.02067,-0.02,-0.02,-0.02,-0.03,.,.,.,.,.,.,-0.17281,0.04676,0.85769,0
5/16/1990,0,0,-0.01,-0.02,-0.02,-0.02,.,.,.,.,.,.,0.0369,0.24954,0.01982,0
7/5/1990,0,-0.03444,0,0.01,0.01,0,.,.,.,.,.,.,-0.01121,0.15764,-0.28439,0
7/13/1990,-0.13777,0.13011,-0.04,-0.04,-0.03,-0.03,.,.,.,.,.,.,0.02985,0.88253,-0.74024,1
8/22/1990,0,0,0.01,0,0,0,.,.,.,.,.,.,0.29184,0.11587,-0.44399,0
10/3/1990,0.01107,-0.02844,0,-0.02,0,-0.01,.,.,.,.,.,.,-0.13967,0.67983,-0.59876,0
10/29/1990,-0.03,-0.03,0.02,0.02,0,-0.01,.,.,.,.,.,.,-0.50188,-0.01978,0.3125,1
11/14/1990,0.01875,0.02196,0.01,0.01,0,0.01,.,.,.,.,.,.,-0.00941,0.57764,0.01543,0
12/7/1990,-0.09042,-0.03767,-0.03,-0.02,-0.02,-0.03,.,.,.,.,.,.,0.08856,0.75752,-0.98224,1
12/18/1990,-0.21462,-0.04846,-0.15,-0.12,-0.08,0.02,.,.,.,.,.,.,0.76453,0.18868,-0.01501,0
1/8/1991,-0.13478,-0.10174,-0.17,-0.14,-0.1,-0.1,.,.,.,.,.,.,0.51814,0.13061,-0.18288,1
2/1/1991,-0.07259,-0.06914,-0.04,-0.05,-0.06,-0.03,.,.,.,.,.,.,-0.18027,0.74957,0,1
2/7/1991,0,-0.02,0,-0.01,-0.01,-0.01,.,.,.,.,.,.,-0.22318,-0.02067,-0.31165,0
3/8/1991,-0.02695,-0.07,-0.05,-0.08,-0.05,-0.04,.,.,.,.,.,.,0.39649,-0.96,0.33137,1
3/27/1991,-0.02,0.03813,-0.01,-0.01,-0.02,-0.09,.,.,.,.,.,.,0.14055,-0.95556,0.5421,0
4/30/1991,-0.18,-0.18,-0.18,-0.21,-0.19,-0.15,.,.,.,.,.,.,0.94203,2.93861,-0.95861,1
5/15/1991,0.01938,-0.00287,0,0,0.01,0.02,.,.,.,.,.,.,-0.23957,0.6507,-0.11582,0
7/5/1991,0,-0.031,0.02,0.02,0.02,0.01,0,0,0.021,0.027,0.024,0.025,-0.02932,0.219,-0.82437,0
8/6/1991,-0.186,-0.0744,-0.13,-0.13,-0.11,-0.09,-0.114,-0.091,-0.077,-0.059,-0.04,-0.024,0.49425,0.42628,-0.69505,1
8/21/1991,0.124,0.03421,0.01,0.02,0.03,0.02,0.01,0.01,0.008,0.007,0.004,0.005,0.12212,2.9093,-0.4729,0
9/13/1991,-0.05294,0.01434,-0.01,0,0.02,0,-0.016,-0.011,0.004,-0.007,-0.009,-0.008,-0.04647,0.11873,-0.05967,1
10/2/1991,-0.01069,0.01518,0,-0.01,0.01,0.01,-0.005,0.006,0,-0.006,-0.005,-0.004,-0.04361,0.16236,-0.39039,0
10/30/1991,-0.03001,-0.03001,0,-0.02,0,0,-0.016,-0.005,-0.017,-0.017,-0.006,-0.004,0.02295,1.10646,0.25239,1
11/6/1991,-0.1,-0.1477,-0.09,-0.09,-0.09,-0.09,-0.115,-0.112,-0.093,-0.078,-0.05,-0.044,0,0.14018,0.07704,0
12/6/1991,0,0,0.01,0,0.01,0.01,0.005,0.011,0.009,0.003,0.009,0.002,0.02634,1.13196,-0.44265,1
12/18/1991,0.04769,-0.01244,0,0.01,0.01,0.07,0.01,0.006,0.013,0.011,-0.005,-0.005,-0.00786,0.20337,-0.11664,0
12/20/1991,-0.36635,-0.21965,-0.3,-0.29,-0.29,-0.23,-0.176,-0.232,-0.241,-0.169,-0.082,-0.05,0,1.56382,-0.59222,1
2/6/1992,0.01261,0.00991,-0.01,-0.01,0.01,-0.01,0,-0.005,0,0,-0.004,-0.002,0.03623,0.79264,-0.14305,0
4/1/1992,0.01035,-0.04698,0.02,0,0.01,0.01,0,0,0,-0.002,0.002,0.005,-0.13198,-0.27256,1.18868,0
