;MU_1rt
1999-09-01;0,098256525
1999-10-01;0,098124265
1999-11-01;0,097195843
1999-12-01;0,097881245
2000-01-01;0,103885892
2000-02-01;0,106170471
2000-03-01;0,106893167
2000-04-01;0,111797662
2000-05-01;0,112739414
2000-06-01;0,107221782
2000-07-01;0,105443413
2000-08-01;0,108464933
2000-09-01;0,108002506
2000-10-01;0,102684181
2000-11-01;0,106366989
2000-12-01;0,117779394
2001-01-01;0,118038219
2001-02-01;0,109301341
2001-03-01;0,105522727
2001-04-01;0,10750297
2001-05-01;0,109611361
2001-06-01;0,109734585
2001-07-01;0,104714996
2001-08-01;0,097954554
2001-09-01;0,122815803
2001-10-01;0,1264164
2001-11-01;0,13630977
2001-12-01;0,118722175
2002-01-01;0,114674019
2002-02-01;0,109706895
2002-03-01;0,109850126
2002-04-01;0,10703275
2002-05-01;0,099599026
2002-06-01;0,097738739
2002-07-01;0,102043675
2002-08-01;0,086419068
2002-09-01;0,084547502
2002-10-01;0,085481539
2002-11-01;0,085294814
2002-12-01;0,096165471
2003-01-01;0,098873304
2003-02-01;0,100824157
2003-03-01;0,100521341
2003-04-01;0,106673907
2003-05-01;0,093678481
2003-06-01;0,089938911
2003-07-01;0,093525
2003-08-01;0,092282001
2003-09-01;0,086834549
2003-10-01;0,085082869
2003-11-01;0,090642311
2003-12-01;0,085877143
2004-01-01;0,086859953
2004-02-01;0,087388272
2004-03-01;0,087415645
2004-04-01;0,087011627
2004-05-01;0,088392987
2004-06-01;0,096250756
2004-07-01;0,09205794
2004-08-01;0,08440874
2004-09-01;0,084365143
2004-10-01;0,088862729
2004-11-01;0,090238451
2004-12-01;0,097579533
2005-01-01;0,099516143
2005-02-01;0,094882148
2005-03-01;0,089831073
2005-04-01;0,089863436
2005-05-01;0,082476139
2005-06-01;0,0825546
2005-07-01;0,087450881
2005-08-01;0,098674222
2005-09-01;0,108181923
2005-10-01;0,109286912
2005-11-01;0,11345329
2005-12-01;0,100894955
2006-01-01;0,099300962
2006-02-01;0,097225961
2006-03-01;0,090267029
2006-04-01;0,093118783
2006-05-01;0,095287815
2006-06-01;0,093400046
2006-07-01;0,091312282
2006-08-01;0,086312143
2006-09-01;0,096414504
2006-10-01;0,096404801
2006-11-01;0,094292844
2006-12-01;0,092167648
2007-01-01;0,095567721
2007-02-01;0,101725541
2007-03-01;0,099485122
2007-04-01;0,093398997
2007-05-01;0,08918966
2007-06-01;0,087010071
2007-07-01;0,085491978
2007-08-01;0,087751658
2007-09-01;0,086080396
2007-10-01;0,0875154
2007-11-01;0,092715326
2007-12-01;0,093904327
2008-01-01;0,093904367
2008-02-01;0,095274534
2008-03-01;0,090118348
2008-04-01;0,091257114
2008-05-01;0,119406368
2008-06-01;0,117831656
2008-07-01;0,117216343
2008-08-01;0,117422672
2008-09-01;0,134003236
2008-10-01;0,130458366
2008-11-01;0,132206868
2008-12-01;0,131458718
2009-01-01;0,126101883
2009-02-01;0,148593815
2009-03-01;0,134300658
2009-04-01;0,127065321
2009-05-01;0,133618573
2009-06-01;0,12464481
2009-07-01;0,121455295
2009-08-01;0,124172182
2009-09-01;0,113404459
2009-10-01;0,109417312
2009-11-01;0,109456538
2009-12-01;0,105918351
2010-01-01;0,107782304
2010-02-01;0,108790804
2010-03-01;0,111078569
2010-04-01;0,105788252
2010-05-01;0,106531185
2010-06-01;0,097654899
2010-07-01;0,094065102
2010-08-01;0,089719911
2010-09-01;0,088737469
2010-10-01;0,088420001
2010-11-01;0,083564168
2010-12-01;0,091079168
2011-01-01;0,092785992
2011-02-01;0,106442585
2011-03-01;0,097814835
2011-04-01;0,092489893
2011-05-01;0,090646789
2011-06-01;0,090954484
2011-07-01;0,096431488
2011-08-01;0,095990227
2011-09-01;0,090994694
2011-10-01;0,090867042
2011-11-01;0,091142063
2011-12-01;0,090249669
2012-01-01;0,090238013
2012-02-01;0,09183534
2012-03-01;0,090805961
2012-04-01;0,087620553
2012-05-01;0,085257559
2012-06-01;0,082712478
2012-07-01;0,084744866
2012-08-01;0,08515429
2012-09-01;0,085924576
2012-10-01;0,086197351
2012-11-01;0,088685729
2012-12-01;0,095042801
2013-01-01;0,098494275
2013-02-01;0,100298073
2013-03-01;0,091831147
2013-04-01;0,08792565
2013-05-01;0,084749045
2013-06-01;0,081985477
2013-07-01;0,082730825
2013-08-01;0,076715263
2013-09-01;0,07710575
2013-10-01;0,07795171
2013-11-01;0,077012439
2013-12-01;0,083713917
2014-01-01;0,086527083
2014-02-01;0,087931486
2014-03-01;0,087822164
2014-04-01;0,082792998
2014-05-01;0,082797158
2014-06-01;0,079357629
2014-07-01;0,079023752
2014-08-01;0,083505233
2014-09-01;0,083035625
2014-10-01;0,083661825
2014-11-01;0,089920338
2014-12-01;0,092223855
2015-01-01;0,094798525
2015-02-01;0,102007602
2015-03-01;0,105371796
2015-04-01;0,101787335
2015-05-01;0,100247605
2015-06-01;0,094566187
2015-07-01;0,091771285
2015-08-01;0,085601797
2015-09-01;0,084573604
2015-10-01;0,085621315
2015-11-01;0,088974496
2015-12-01;0,092489317
2016-01-01;0,091508737
2016-02-01;0,095128518
2016-03-01;0,091725937
2016-04-01;0,088476082
2016-05-01;0,080213739
2016-06-01;0,080323688
2016-07-01;0,084400029
2016-08-01;0,081187902
2016-09-01;0,082238938
2016-10-01;0,08377958
2016-11-01;0,086130983
2016-12-01;0,087947547
2017-01-01;0,090079746
2017-02-01;0,094955495
2017-03-01;0,093760167
2017-04-01;0,092865558
2017-05-01;0,091630769
2017-06-01;0,087938337
2017-07-01;0,08549378
2017-08-01;0,08753665
2017-09-01;0,087928325
2017-10-01;0,087980153
2017-11-01;0,087956271
2017-12-01;0,088536878
2018-01-01;0,087673603
2018-02-01;0,086438718
2018-03-01;0,086190383
2018-04-01;0,087011263
2018-05-01;0,084966777
2018-06-01;0,081220058
2018-07-01;0,079858169
2018-08-01;0,074898835
2018-09-01;0,075942818
2018-10-01;0,075035325
