Time,14:15-16:10,overnight,9:30-14:15,total
2/8/1990,0.003722163,-2.99621E-05,0.001347406,0.005039607
3/28/1990,0.009828523,0,0.002515136,0.012343659
5/16/1990,-0.000790023,-2.82267E-05,-0.001921284,-0.002739534
7/5/1990,0.000472124,0,-0.012151497,-0.011679373
7/13/1990,0.006974793,8.20895E-05,0.00904318,0.016100062
8/22/1990,0.001554678,0,-0.007735052,-0.006180374
10/3/1990,-0.009189587,0,-0.00142864,-0.010618226
10/29/1990,-0.006705178,9.84494E-05,-0.008535371,-0.0151421
11/14/1990,-0.002075472,-3.14797E-05,0.007120593,0.005013641
12/7/1990,-0.001093394,6.07755E-05,-0.00343962,-0.004472239
12/18/1990,0.001995733,0,0.005566955,0.007562688
1/8/1991,-0.00414433,0,-0.000634236,-0.004778566
2/1/1991,0.006036852,-5.81531E-05,0.00072667,0.006705369
2/7/1991,0.004394258,0,-0.00237666,0.002017599
3/8/1991,-0.000957218,0,0.005174004,0.004216786
3/27/1991,0.008272229,-5.31505E-05,-0.000132889,0.00808619
4/30/1991,-0.013054703,0,0.00320633,-0.009848373
5/15/1991,-0.002204124,-0.000188382,-0.007645896,-0.010038403
7/5/1991,-0.000294594,0,0.000963804,0.00066921
8/6/1991,-0.000986373,0,0.008327563,0.00734119
8/21/1991,0.005284866,-2.6355E-05,0.021587511,0.026846022
9/13/1991,0.001808833,-0.000464816,-0.00798718,-0.006643163
10/2/1991,0.000334074,0,0.000488062,0.000822136
10/30/1991,0.002352822,0,0.001556977,0.003909799
11/6/1991,-0.002517987,0,0.001619434,-0.000898553
12/6/1991,-0.000503318,-2.64974E-05,0.009966334,0.009436519
12/18/1991,-0.002609332,0,0.000417951,-0.002191381
12/20/1991,0.002093639,2.61428E-05,0.012237892,0.014357674
2/6/1992,-0.003569882,7.24892E-05,-0.002394921,-0.005892314
4/1/1992,-0.001658314,-4.95442E-05,-0.003424491,-0.005132349
4/9/1992,0.00327532,0,0.015643789,0.018919109
5/20/1992,0.006699143,0,-0.000288247,0.006410896
7/2/1992,0.002716338,0,-0.001648325,0.001068013
8/19/1992,0.000617269,0,-0.002447574,-0.001830305
9/4/1992,-0.001721089,0,-9.57029E-05,-0.001816791
10/7/1992,-0.001496988,-2.45595E-05,-0.000245628,-0.001767175
11/18/1992,-0.001215661,0,0.008336845,0.007121185
12/23/1992,0.003868389,-4.54236E-05,-0.000795247,0.003027718
2/4/1993,0.004527227,8.94414E-05,0.002991675,0.007608343
3/24/1993,-0.001247105,0,-0.003728307,-0.004975412
5/19/1993,0.004415621,0,0.002766881,0.007182502
7/8/1993,-0.001489304,2.25818E-05,0.010758467,0.009291745
8/18/1993,0.001612316,0.000176534,0.006882551,0.008671401
9/22/1993,0.000795106,-2.20777E-05,0.006009197,0.006782225
11/17/1993,0.005327732,2.14254E-05,-0.00765661,-0.002307453
12/22/1993,0.002065316,-0.000472925,0.00124632,0.002838712
2/4/1994,0.003208804,-4.16069E-05,-0.011402871,-0.008235673
3/22/1994,0.00108908,-0.000298845,0.000426894,0.00121713
4/18/1994,-0.002104557,0.000201692,-0.008348102,-0.010250966
5/17/1994,0.001148015,-2.24974E-05,0.001169196,0.002294714
7/6/1994,-0.001231403,-0.00017924,0.001074956,-0.000335687
8/16/1994,-0.003138836,-2.16814E-05,0.000650237,-0.00251028
9/27/1994,0.002041881,-2.17002E-05,0.002470796,0.004490977
11/15/1994,0.002148044,0,0.001329474,0.003477518
12/20/1994,0.000961349,0.000371183,-0.001223242,0.000109291
2/1/1995,0.000127551,-2.12574E-05,0.003691999,0.003798292
3/28/1995,0.002606785,0,3.97456E-05,0.002646531
5/23/1995,-0.000324592,0,0.001049769,0.000725177
7/6/1995,-0.002773623,0,-0.000127918,-0.002901541
8/22/1995,-0.005752995,0.000340383,0.000698318,-0.004714294
9/26/1995,0.00344347,0.000137492,0.002111571,0.005692533
11/15/1995,-0.003979919,0,-0.000356425,-0.004336344
12/19/1995,-0.002830486,0.000329538,-0.002771502,-0.005272449
1/31/1996,0.002908295,0,0.001046822,0.003955117
3/26/1996,-0.000199971,1.53838E-05,0.005966413,0.005781826
5/21/1996,0.000802521,0,0.001973836,0.002776357
7/3/1996,0.000727699,1.48455E-05,-0.002407849,-0.001665304
8/20/1996,-1.50018E-05,0,0.000120008,0.000105007
9/24/1996,0.004804086,0,0.000786312,0.005590399
11/13/1996,-0.002628266,4.11198E-05,-0.000287874,-0.002875021
12/17/1996,-0.00977193,-1.38699E-05,0.00527056,-0.00451524
2/5/1997,0.004240684,-0.000316795,0.003100268,0.007024157
