date,US0003M Index,USSOC Curncy,spread
12/4/2001,2,1.755,24.5
12/5/2001,1.98125,1.81,17.125
12/6/2001,2.02,1.794,22.6
12/7/2001,2.00375,1.723,28.075
12/10/2001,1.93,1.709,22.1
12/11/2001,1.9,1.688,21.2
12/12/2001,1.86313,1.7,16.313
12/13/2001,1.87,1.718,15.2
12/14/2001,1.895,1.731,16.4
12/17/2001,1.90125,1.732,16.925
12/18/2001,1.91,1.726,18.4
12/19/2001,1.9025,1.702,20.05
12/20/2001,1.9025,1.721,18.15
12/21/2001,1.9,1.717,18.3
12/24/2001,1.90375,1.712,19.175
12/25/2001,1.90375,1.712,19.175
12/26/2001,1.90375,1.718,18.575
12/27/2001,1.90875,1.722,18.675
12/28/2001,1.88125,1.714,16.725
12/31/2001,1.88125,1.738,14.325
1/1/2002,1.88125,1.738,14.325
1/2/2002,1.86375,1.735,12.875
1/3/2002,1.87563,1.721,15.463
1/4/2002,1.87,1.723,14.7
1/7/2002,1.87,1.705,16.5
1/8/2002,1.8425,1.706,13.65
1/9/2002,1.84375,1.71,13.375
1/10/2002,1.83125,1.701,13.025
1/11/2002,1.82688,1.623,20.388
1/14/2002,1.72375,1.603,12.075
1/15/2002,1.72375,1.623,10.075
1/16/2002,1.71563,1.634,8.16300000000001
1/17/2002,1.74,1.669,7.1
1/18/2002,1.77,1.655,11.5
1/21/2002,1.79625,1.653,14.325
1/22/2002,1.8,1.7,9.99999999999999
1/23/2002,1.8,1.701,9.9
1/24/2002,1.81,1.733,7.7
1/25/2002,1.87,1.738,13.2
1/28/2002,1.87,1.737,13.3
1/29/2002,1.87,1.719,15.1
1/30/2002,1.86,1.747,11.3
1/31/2002,1.88,1.76,12
2/1/2002,1.92,1.761,15.9
2/4/2002,1.90875,1.75,15.875
2/5/2002,1.9,1.744,15.6
2/6/2002,1.9,1.741,15.9
2/7/2002,1.9,1.747,15.3
2/8/2002,1.9,1.745,15.5
2/11/2002,1.8925,1.746,14.65
2/12/2002,1.89,1.745,14.5
2/13/2002,1.9,1.758,14.2
2/14/2002,1.91,1.764,14.6
2/15/2002,1.91,1.763,14.7
2/18/2002,1.90375,1.758,14.575
2/19/2002,1.90125,1.757,14.425
2/20/2002,1.9025,1.757,14.55
2/21/2002,1.91,1.768,14.2
2/22/2002,1.90125,1.762,13.925
2/25/2002,1.90125,1.768,13.325
2/26/2002,1.90125,1.765,13.625
2/27/2002,1.91125,1.768,14.325
2/28/2002,1.9,1.772,12.8
3/1/2002,1.90125,1.785,11.625
3/4/2002,1.92,1.793,12.7
3/5/2002,1.92,1.798,12.2
3/6/2002,1.92,1.791,12.9
3/7/2002,1.92125,1.831,9.02500000000002
3/8/2002,1.96,1.855,10.5
3/11/2002,2,1.851,14.9
3/12/2002,2,1.851,14.9
3/13/2002,2,1.844,15.6
3/14/2002,1.99,1.856,13.4
3/15/2002,2.01,1.866,14.4
3/18/2002,2.01,1.865,14.5
3/19/2002,2.01,1.839,17.1
3/20/2002,1.99375,1.862,13.175
3/21/2002,2.01875,1.873,14.575
3/22/2002,2.03,1.883,14.7
3/25/2002,2.0375,1.882,15.55
3/26/2002,2.0475,1.851,19.65
3/27/2002,2.0375,1.847,19.05
3/28/2002,2.03,1.867,16.3
3/29/2002,2.03,1.858,17.2
4/1/2002,2.03,1.87,16
4/2/2002,2.04,1.866,17.4
4/3/2002,2.02625,1.843,18.325
4/4/2002,2.0125,1.847,16.55
4/5/2002,2.01,1.839,17.1
4/8/2002,1.98625,1.839,14.725
4/9/2002,1.99,1.836,15.4
4/10/2002,1.98,1.837,14.3
4/11/2002,1.98,1.836,14.4
4/12/2002,1.98,1.825,15.5
4/15/2002,1.97,1.815,15.5
4/16/2002,1.97,1.827,14.3
4/17/2002,1.97,1.806,16.4
4/18/2002,1.94875,1.796,15.275
4/19/2002,1.94,1.802,13.8
4/22/2002,1.94,1.803,13.7
4/23/2002,1.94,1.806,13.4
4/24/2002,1.94,1.796,14.4
4/25/2002,1.92875,1.788,14.075
4/26/2002,1.92125,1.794,12.725
4/29/2002,1.9125,1.791,12.15
4/30/2002,1.92,1.796,12.4
5/1/2002,1.92,1.79,13
5/2/2002,1.92,1.796,12.4
5/3/2002,1.92,1.779,14.1
